fid,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl,OC,CaCO3,N,P,K,CEC,Notes,sample_ID,latitude,longitude,VH_1,VV_1,VH_2,VV_2,VH_3,VV_3,VH_4,VV_4,VH_5,VV_5,BAND_11,BAND_12,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,NDVI,EVI,SATVI,DEM_ELEV,DEM_CS,DEM_LSF,DEM_SLOPE,DEM_TWI
"1","47962650.00","14",20,41,39,4.45,4.05,27.9,5,2.1,11.3,121.5,7.4,,"20790",46.78,16.22,0.0495366081595421,0.212038606405258,0.041009284555912,0.172065943479538,0.0573932230472565,0.244369611144066,0.0432897098362446,0.210094854235649,0.0551122426986694,0.286081731319427,0.136162504553795,0.056503526866436,0.0153964580968022,0.0327116698026657,0.0180904176086187,0.0604055002331734,0.231097057461739,0.279627948999405,0.287495851516724,0.303771734237671,-0.881601870059967,0.525950372219086,0.176334396004677,323.320007324219,1.57070505619049,37.1863136291504,89.9944458007813,0
"2","47942654.00","2",24,49,27,4.29,3.61,28.2,0,2.3,11.8,76,15.9,,"20732",46.82,16.2,0.297753840684891,0.225668162107468,0.0583345517516136,0.194195359945297,0.0434465073049068,0.189910635352135,0.0305063370615244,0.116010822355747,0.0354618653655052,0.183043718338013,0.127806261181831,0.0549708344042301,0.0183333326131105,0.0399791672825813,0.0223583336919546,0.0554604157805443,0.218087494373322,0.272395819425583,0.311833322048187,0.303756266832352,-0.866194546222687,0.553073525428772,0.155876040458679,328.186462402344,1.57064461708069,37.2217025756836,89.9912948608398,0
"3","47922650.00","21",16,29,55,4.17,3.71,22.3,0,1.4,12,58.8,12.3,,"20730",46.79,16.17,0.0591370612382889,0.227822706103325,0.0401979312300682,0.219557642936707,0.0328690521419048,0.160311907529831,0.0293087847530842,0.131822481751442,0.0363110899925232,0.168358892202377,0.15370000898838,0.0622895807027817,0.0166250001639128,0.0337500013411045,0.0177208334207535,0.064841665327549,0.272962480783463,0.355324983596802,0.377324998378754,0.393785417079926,-0.910284698009491,0.661541759967804,0.201016306877136,332.195129394531,1.57067584991455,37.0841331481934,89.9963989257813,0
"4","47862672.00","11",20,48,33,7.22,6.62,4.7,0,0.5,20,92.7,16.2,,"262",46.99,16.12,0.051979623734951,0.459214150905609,0.038017600774765,0.303670525550842,0.0462583191692829,0.512055635452271,0.0333223789930344,0.223653107881546,0.0372220985591412,0.263809680938721,0.201185256242752,0.1019332036376,0.0207000002264977,0.0473499968647957,0.0250499993562698,0.0791665017604828,0.289636224508286,0.405246019363403,0.434799998998642,0.402471661567688,-0.891051411628723,0.71642130613327,0.236311480402946,280.957672119141,1.57064437866211,37.3680076599121,89.986457824707,0
"5","47862636.00","16",18,48,34,4.58,4.28,18.5,1,2.1,110.3,436.8,8.3,,"20791",46.67,16.08,0.0237653013318777,0.117576092481613,0.019702035933733,0.104279920458794,0.0180160254240036,0.103813357651234,0.0173281095921993,0.0994315296411514,0.0240452084690332,0.163738682866096,0.200060412287712,0.109677083790302,0.0290779173374176,0.0596558339893818,0.0360097922384739,0.104093752801418,0.298399984836578,0.369508326053619,0.404574573040009,0.374845832586288,-0.836536228656769,0.656955301761627,0.210600465536118,198.105621337891,1.57000994682312,37.7470054626465,89.9795837402344,0
"6","47842626.00","6",20,50,30,5.2,4.03,19,0,1.3,0,113.2,10.8,,"20735",46.58,16.04,0.0256021432578564,0.140470311045647,0.0239192880690098,0.145863443613052,0.0215807408094406,0.115398325026035,0.0350039377808571,0.117716908454895,0.0268756989389658,0.14477077126503,0.139739319682121,0.060911163687706,0.0158612485975027,0.0329710431396961,0.0185866672545671,0.0564172528684139,0.212293803691864,0.280438721179962,0.307785004377365,0.295514225959778,-0.886101245880127,0.556002795696259,0.178730174899101,219.968902587891,1.57070457935333,37.1360893249512,89.9944076538086,0
"7","47842612.00","24",22,36,42,4.54,4.11,9.2,0,1.4,0,163.5,9.7,,"20734",46.45,16.03,0.0563780330121517,0.259650647640228,0.0409868620336056,0.149291321635246,0.0320036485791206,0.137866869568825,0.0313251614570618,0.128519982099533,0.0292469151318073,0.163587227463722,0.219549253582954,0.166680440306664,0.0648574978113174,0.107553333044052,0.138084575533867,0.159446686506271,0.181403949856758,0.197049349546432,0.193046241998672,0.203356832265854,-0.165981724858284,0.0895069763064384,0.0366695746779442,240.202224731445,1.57067787647247,37.0938339233398,89.995475769043,0
"8","47822656.00","15",18,51,31,5.08,4.64,14.9,1,1.6,10.1,60.8,10.9,,"250",46.85,16.05,0.0611657500267029,0.292247712612152,0.046922966837883,0.241340085864067,0.0463837273418903,0.218797758221626,0.0231288056820631,0.144981861114502,0.0330558307468891,0.175070539116859,0.124171793460846,0.0520152784883976,0.0138697912916541,0.0284162480384111,0.0157664585858583,0.0540347769856453,0.214733809232712,0.282453596591949,0.249519169330597,0.302889466285706,-0.881136000156403,0.47123971581459,0.164187461137772,281.278564453125,1.57073187828064,37.1430778503418,89.9949493408203,0
"9","47822632.00","1",21,67,12,4.34,3.79,29.6,0,2.1,14.7,65.2,14,,"20725",46.63,16.02,0.0442329831421375,0.163451492786407,0.0309148300439119,0.0779135376214981,0.0207295455038548,0.0751083195209503,0.0175260752439499,0.0766117796301842,0.0194474272429943,0.0993485227227211,0.188195839524269,0.0939104184508324,0.0268839579075575,0.0672462433576584,0.0309849996119738,0.0993687510490417,0.293510407209396,0.3403500020504,0.395843744277954,0.36193123459816,-0.854812979698181,0.660916566848755,0.210940644145012,264.99462890625,1.57060599327087,37.119140625,89.9956130981445,0
"10","47822614.00","19",17,43,40,4.45,3.64,39.5,6,2.6,15.8,141.1,9.6,,"20744",46.47,16,0.023241201415658,0.118254385888577,0.0130367930978537,0.0623107738792896,0.0244407523423433,0.105484217405319,0.0252956803888083,0.0880629196763039,0.0256780702620745,0.098437137901783,0.177614584565163,0.0788979157805443,0.0224750004708767,0.051962498575449,0.0257875006645918,0.0883124992251396,0.321593761444092,0.408983319997787,0.432266652584076,0.423072904348373,-0.887404143810272,0.716424822807312,0.212880805134773,274.932891845703,1.57064533233643,37.1643028259277,89.9936676025391,0
