idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
0.0,0.5,1.0,1.0,0.0042035579681396484,0.0004002571105957031,1.2616397403728765,1.5917348344881395,0.04574493743983388
1.0,0.5,1.0,2.0,0.006806421279907227,0.0004004001617431641,1.2069039260655574,1.4566170867524566,0.12490436591335256
2.0,0.5,1.0,3.0,0.009408664703369141,0.001000833511352539,1.215148217752394,1.4765851911068197,0.1055280555732367
3.0,0.5,1.0,4.0,0.012411403656005859,0.00020031929016113282,1.2426135990726732,1.5440885566003424,0.06877484668798003
4.0,0.5,1.0,5.0,0.015013408660888673,0.0006005764007568359,1.2463404946569183,1.5533646286216516,0.06750577916697822
5.0,0.5,1.0,10.0,0.02402157783508301,0.00040044784545898435,1.2473345516839278,1.555843483824545,0.0639995527130763
6.0,0.5,10.0,1.0,0.031829118728637695,0.0004002571105957031,1.1971280610791366,1.433115594623093,0.1314009423439566
7.0,0.5,10.0,2.0,0.05725221633911133,0.000600433349609375,1.17825430406155,1.3882832050395675,0.1578100070432385
8.0,0.5,10.0,3.0,0.08510527610778809,0.0006145000457763672,1.1930111013574942,1.4232754879622214,0.12727649239092284
9.0,0.5,10.0,4.0,0.10909972190856934,0.0006006717681884766,1.24683475173977,1.5545968981459737,0.05409383593913242
10.0,0.5,10.0,5.0,0.1364506244659424,0.0005994796752929688,1.2836525462492354,1.6477638594921455,-0.0019142246930182294
11.0,0.5,10.0,10.0,0.2496049404144287,0.0006007194519042969,1.288546757095376,1.6603527452210098,-0.0035282078290672426
12.0,0.5,50.0,1.0,0.15554943084716796,0.0008007526397705078,1.1953045780786997,1.4287530343758985,0.13354188703888734
13.0,0.5,50.0,2.0,0.29665842056274416,0.0004004001617431641,1.2000052806055463,1.440012673481196,0.12471074996146467
14.0,0.5,50.0,3.0,0.42017712593078616,0.0008006572723388671,1.2571360750408538,1.5803911111691231,0.026246166531816394
15.0,0.5,50.0,4.0,0.5636982440948486,0.0010009765625,1.2751883941204356,1.6261054404994553,0.013445161314596832
16.0,0.5,50.0,5.0,0.6784170150756836,0.0010007858276367188,1.3128220589845996,1.7235017585565635,-0.049467372812973975
17.0,0.5,50.0,10.0,1.2493386268615723,0.001601409912109375,1.288677839130957,1.6606905730672328,-0.003922921537532664
18.0,0.5,100.0,1.0,0.3074798107147217,0.0008036613464355469,1.208713461845369,1.4609882328462163,0.11086951929168065
19.0,0.5,100.0,2.0,0.5847261905670166,0.0008001327514648438,1.2346562111983193,1.5243759598505888,0.07330194393778748
