idx,lr,epochs,dropout,layers,neurons,test_rmse,test_mae,test_r2
187,0.001,100,0.2,5,50,0.57947132,0.447332382,0.177998042
82,0.005,50,0.2,7,50,0.574710409,0.448526368,0.191021025
263,0.0005,100,0.2,7,100,0.585476555,0.449120611,0.161096473
190,0.001,100,0.2,7,50,0.572227823,0.44929187,0.198628642
188,0.001,100,0.2,5,100,0.588279747,0.452466115,0.152597381
200,0.001,100,0.5,5,100,0.588693435,0.452630475,0.151655248
191,0.001,100,0.2,7,100,0.569081589,0.452963993,0.20629066
114,0.005,100,0.2,5,20,0.57412293,0.45297949,0.193175482
115,0.005,100,0.2,5,50,0.572699931,0.454184636,0.196459242
111,0.005,100,0.2,3,20,0.579493451,0.454266638,0.177476721
81,0.005,50,0.2,7,20,0.577826305,0.454384133,0.181125008
79,0.005,50,0.2,5,50,0.584256065,0.455760926,0.164354286
7,0.01,50,0.2,5,50,0.574306329,0.455878869,0.190319237
203,0.001,100,0.5,7,100,0.586675982,0.456280857,0.157353293
6,0.01,50,0.2,5,20,0.573768211,0.457079589,0.192141172
155,0.001,50,0.2,7,100,0.604718733,0.457418159,0.104888108
83,0.005,50,0.2,7,100,0.613681172,0.45754461,0.073238625
78,0.005,50,0.2,5,20,0.581825276,0.457645133,0.171653583
95,0.005,50,0.5,7,100,0.589928531,0.457738951,0.148153658
90,0.005,50,0.5,5,20,0.592896091,0.457864553,0.13960918
262,0.0005,100,0.2,7,50,0.600971239,0.457920209,0.116367147
3,0.01,50,0.2,3,20,0.590375169,0.458070099,0.147454606
9,0.01,50,0.2,7,20,0.584447401,0.458902806,0.163372992
119,0.005,100,0.2,7,100,0.606533147,0.45918791,0.098069157
154,0.001,50,0.2,7,50,0.60515224,0.460020527,0.100457103
117,0.005,100,0.2,7,20,0.5761289,0.460517675,0.187819244
73,0.005,50,0.2,2,50,0.590451252,0.460952416,0.138618803
186,0.001,100,0.2,5,20,0.603247089,0.461604834,0.109018843
216,0.0005,50,0.2,2,20,0.586084677,0.461663052,0.157556133
39,0.01,100,0.2,3,20,0.595784866,0.462361172,0.131230974
75,0.005,50,0.2,3,20,0.603759639,0.462712333,0.104996344
189,0.001,100,0.2,7,20,0.59913352,0.46320875,0.120026488
195,0.001,100,0.5,3,20,0.600597875,0.464620456,0.11733279
45,0.01,100,0.2,7,20,0.594326445,0.465264231,0.132529697
72,0.005,50,0.2,2,20,0.594069931,0.465704441,0.135730158
15,0.01,50,0.5,3,20,0.60860473,0.466439784,0.093157906
126,0.005,100,0.5,5,20,0.59408762,0.46679984,0.135154132
87,0.005,50,0.5,3,20,0.614967854,0.466811255,0.074009791
118,0.005,100,0.2,7,50,0.583669458,0.466942891,0.165878592
54,0.01,100,0.5,5,20,0.608115239,0.467893168,0.095194181
18,0.01,50,0.5,5,20,0.606649911,0.470870689,0.099344885
131,0.005,100,0.5,7,100,0.605645659,0.472836167,0.100874766
91,0.005,50,0.5,5,50,0.616350049,0.47309117,0.070223429
261,0.0005,100,0.2,7,20,0.622170019,0.473547921,0.052535203
183,0.001,100,0.2,3,20,0.620226405,0.474245891,0.058306714
153,0.001,50,0.2,7,20,0.623292799,0.475147501,0.048666203
94,0.005,50,0.5,7,50,0.619131699,0.475167647,0.061450127
202,0.001,100,0.5,7,50,0.623577739,0.476270527,0.044356397
199,0.001,100,0.5,5,50,0.626794356,0.476454332,0.036169752
43,0.01,100,0.2,5,50,0.608310785,0.476772964,0.092114952
150,0.001,50,0.2,5,20,0.627167768,0.476851001,0.034788264
11,0.01,50,0.2,7,100,0.617338582,0.477077425,0.064799264
127,0.005,100,0.5,5,50,0.61361229,0.477719083,0.0757771
22,0.01,50,0.5,7,50,0.625469624,0.478749603,0.042554819
93,0.005,50,0.5,7,20,0.620794708,0.478955835,0.05706327
253,0.0005,100,0.2,2,50,0.626864187,0.479985908,0.037323282
42,0.01,100,0.2,5,20,0.625399152,0.480452299,0.042322275
130,0.005,100,0.5,7,50,0.618132196,0.480965674,0.063120674
129,0.005,100,0.5,7,20,0.616440216,0.481114641,0.067447613
46,0.01,100,0.2,7,50,0.625484741,0.483309269,0.042353901
123,0.005,100,0.5,3,20,0.61278016,0.484535739,0.078706111
10,0.01,50,0.2,7,50,0.631384938,0.484646857,0.023948268
196,0.001,100,0.5,3,50,0.63875296,0.485689566,-0.000618218
184,0.001,100,0.2,3,50,0.623363196,0.485695034,0.040167259
201,0.001,100,0.5,7,20,0.637159986,0.487297505,0.006817881
198,0.001,100,0.5,5,20,0.640026008,0.488810003,-0.002451771
51,0.01,100,0.5,3,20,0.636045156,0.488916844,0.007925009
135,0.005,100,0.7,3,20,0.635141064,0.489746809,0.012367255
99,0.005,50,0.7,3,20,0.63761365,0.489787847,0.005687815
63,0.01,100,0.7,3,20,0.635971884,0.489905432,0.009013419
