,Species,Spacing (m),Yield Class,Management,Period (year),Carbon Standing (tCO2e/ ha/yr),Debris (tCO2e/ha/yr),Total (tCO2/ha/yr),Cumulative       in-period (tCO2e/ha/ 5yr period),Cum. Biomass Sequestrn (tCO2e/ha),Cum. Emis. Ongoing Mgmt (tCO2e/ha),Cumulative Total Sequestrn (tCO2e/ha),Removed from Forest (tCO2e/ha/yr)
BE1.202NO_thin000,BE ,1.2,2,NO_thin,  0-5,,,,,,,0.4,
BE1.202NO_thin005,BE ,1.2,2,NO_thin,  5-10,,,,,,,1.1,
BE1.202NO_thin010,BE ,1.2,2,NO_thin, 10-15,,,,,,,2.3,
BE1.202NO_thin015,BE ,1.2,2,NO_thin, 15-20,,,,,,,5.0,
BE1.202NO_thin020,BE ,1.2,2,NO_thin, 20-25,,,,,,,12.2,
BE1.202NO_thin025,BE ,1.2,2,NO_thin, 25-30,,,,,,,33.4,
BE1.202NO_thin030,BE ,1.2,2,NO_thin, 30-35,,,,,,,70.0,
BE1.202NO_thin035,BE ,1.2,2,NO_thin, 35-40,,,,,,,87.4,
BE1.202NO_thin040,BE ,1.2,2,NO_thin, 40-45,,,,,,,106.6,
BE1.202NO_thin045,BE ,1.2,2,NO_thin, 45-50,,,,,,,119.6,
BE1.202NO_thin050,BE ,1.2,2,NO_thin, 50-55,,,,,,,127.9,
BE1.202NO_thin055,BE ,1.2,2,NO_thin, 55-60,,,,,,,134.9,
BE1.202NO_thin060,BE ,1.2,2,NO_thin, 60-65,,,,,,,141.3,
BE1.202NO_thin065,BE ,1.2,2,NO_thin, 65-70,,,,,,,148.1,
BE1.202NO_thin070,BE ,1.2,2,NO_thin, 70-75,,,,,,,155.5,
BE1.202NO_thin075,BE ,1.2,2,NO_thin, 75-80,,,,,,,162.5,
BE1.202NO_thin080,BE ,1.2,2,NO_thin, 80-85,,,,,,,169.0,
BE1.202NO_thin085,BE ,1.2,2,NO_thin, 85-90,,,,,,,175.6,
BE1.202NO_thin090,BE ,1.2,2,NO_thin, 90-95,,,,,,,181.8,
BE1.202NO_thin095,BE ,1.2,2,NO_thin, 95-100,,,,,,,188.0,
BE1.202NO_thin100,BE ,1.2,2,NO_thin,100-105,,,,,,,193.8,
BE1.202NO_thin105,BE ,1.2,2,NO_thin,105-110,,,,,,,199.3,
BE1.202NO_thin110,BE ,1.2,2,NO_thin,110-115,,,,,,,204.4,
BE1.202NO_thin115,BE ,1.2,2,NO_thin,115-120,,,,,,,209.0,
BE1.202NO_thin120,BE ,1.2,2,NO_thin,120-125,,,,,,,213.5,
BE1.202NO_thin125,BE ,1.2,2,NO_thin,125-130,,,,,,,217.8,
BE1.202NO_thin130,BE ,1.2,2,NO_thin,130-135,,,,,,,221.8,
BE1.202NO_thin135,BE ,1.2,2,NO_thin,135-140,,,,,,,225.3,
BE1.202NO_thin140,BE ,1.2,2,NO_thin,140-145,,,,,,,228.7,
BE1.202NO_thin145,BE ,1.2,2,NO_thin,145-150,,,,,,,231.7,
BE1.202NO_thin150,BE ,1.2,2,NO_thin,150-155,,,,,,,234.3,
BE1.202NO_thin155,BE ,1.2,2,NO_thin,155-160,,,,,,,237.1,
BE1.202NO_thin160,BE ,1.2,2,NO_thin,160-165,,,,,,,239.7,
