fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len,x_coord,y_coord,satellite1,satellite2
"1","434","1315",Non woodland,Bare area,Scotland,1299.56294396,4.1441149649,41441.1497039795,1299.56294397053,302482.287212,651821.80848,,
"2","436","1317",Non woodland,Bare area,Scotland,929.814989618,1.86058414095,18605.8414001465,929.814989616994,302813.894692,652282.428055,0.027446985244751,-0.0264762081205845
"3","437","1318",Non woodland,Bare area,Scotland,459.180705243,0.56201010265,5620.1009979248,459.180705245309,289040.597652,652608.563407,-0.070343017578125,-0.00397859420627356
"4","438","1319",Non woodland,Bare area,Scotland,583.512636586,0.9464463481,9464.46350097656,583.512636585972,293009.993449,652948.505271,0.0118724564090371,0.00318878097459674
"5","440","1321",Non woodland,Bare area,Scotland,358.895375783,0.5367279344,5367.27934265137,358.895375783168,318749.609572,653294.292207,-0.0153402648866177,-0.00306842057034373
"6","444","1325",Non woodland,Bare area,Scotland,634.831609336,0.6539276838,6539.27679443359,634.831609335109,318306.960551,654600.514911,-0.0605163387954235,-0.0137885278090835
"7","446","1327",Non woodland,Bare area,Scotland,632.482928517,0.99255607415,9925.56071472168,632.482928516388,290260.671974,655648.572565,-0.0182824358344078,-0.0483566597104073
"8","448","1329",Non woodland,Bare area,Scotland,611.790285042,1.3988045545,13988.0454559326,611.790285042946,277626.404592,656236.772064,-0.0359550938010216,0.0314275585114956
"9","449","1330",Non woodland,Bare area,Scotland,464.120664399,1.1093641933,11093.6418914795,464.120664399251,291338.147133,656657.86551,-0.0899724438786507,0.0679637044668198
"10","450","1331",Non woodland,Bare area,Scotland,594.126055481,1.24808776625,12480.8776245117,594.126055478695,285569.728864,656623.932133,0.00252581830136478,-0.0167520809918642
"11","454","1335",Non woodland,Bare area,Scotland,497.824639092,0.85565624275,8556.56242370605,497.824639090859,296580.088823,657770.182289,0.0588120482861996,-0.04017648473382
"12","455","1336",Non woodland,Bare area,Scotland,556.878364515,1.0275514865,10275.514831543,556.87836451382,273544.707171,658235.474031,-0.042259469628334,-0.0515085309743881
"13","457","1338",Non woodland,Bare area,Scotland,763.404904236,0.8429400379,8429.40034484863,763.404904236125,299857.747219,658629.483852,-0.0798239558935165,-0.0491185709834099
"14","460","1341",Non woodland,Bare area,Scotland,534.053839782,1.4151924367,14151.9243621826,534.053839783635,284021.810463,659297.031533,-0.111648514866829,-0.0818211063742638
"15","461","1342",Non woodland,Bare area,Scotland,760.639504001,1.46159979395,14615.9980010986,760.639504000536,309544.448911,659402.159362,-0.0149943921715021,0.0830414146184921
"16","463","1344",Non woodland,Bare area,Scotland,445.429501354,0.80232988135,8023.29885864258,445.429501357017,285944.95647,660390.082879,-0.0423630028963089,-0.032495953142643
"17","464","1345",Non woodland,Bare area,Scotland,601.492187246,0.94980914795,9498.09149169922,601.492187247274,304987.639813,660684.530515,-0.0241077207028866,-0.0336025543510914
"18","465","1346",Non woodland,Bare area,Scotland,738.625781523,0.9827949143,9827.94914245605,738.625781523045,290386.332885,660922.139619,-0.0526343397796154,-0.0165534000843763
"19","466","1347",Non woodland,Bare area,Scotland,769.137931764,1.32667695825,13266.7696533203,769.137931761842,289773.465552,661475.438237,-0.0538136810064316,-0.0405026040971279
"20","467","1348",Non woodland,Bare area,Scotland,393.50111225,0.5838133785,5838.13375854492,393.501112246671,292225.643019,661727.890876,0.136744797229767,-0.0113899214193225
"21","468","1349",Non woodland,Bare area,Scotland,856.388540213,0.85062384305,8506.23843383789,856.388540212166,333736.876717,661864.650687,0.02799416705966,-0.0490112081170082
"22","469","1350",Non woodland,Bare area,Scotland,458.333937404,1.0787314437,10787.3143920898,458.333937404264,291605.675704,661945.753214,-0.00327204843051732,0.168806612491608
"23","470","1351",Non woodland,Bare area,Scotland,457.390725558,0.5966076205,5966.07614135742,457.390725557606,289724.230908,662073.351956,-0.0733531638979912,-0.0343142710626125
"24","471","1352",Non woodland,Bare area,Scotland,336.566218328,0.60873715185,6087.37144470215,336.566218327528,291962.71678,662359.770427,0.0959565117955208,0.00230369786731899
"25","472","1353",Non woodland,Bare area,Scotland,1163.00877373,3.93404380415,39340.4379119873,1163.0087737281,290606.410161,662970.553721,-0.0666135922074318,0.159637793898582
"26","475","1356",Non woodland,Bare area,Scotland,359.837190603,0.79383399345,7938.33995056152,359.837190601887,312972.576134,663739.527701,0.131991401314735,0.00404119864106178
"27","476","1357",Non woodland,Bare area,Scotland,939.223548767,2.074806321,20748.0631561279,939.22354876493,312902.349986,663886.984911,0.274726212024689,0.152107402682304
"28","477","1358",Non woodland,Bare area,Scotland,1347.50614129,10.0267785263,100267.785293579,1347.50614128309,315573.811427,663946.092215,-0.0915304720401764,-0.0621738284826279
"29","482","1363",Non woodland,Bare area,Scotland,628.045825462,0.9597374061,9597.37406921387,628.045825461364,293561.955433,666458.386573,0.0765194669365883,0.0102276671677828
"30","483","1364",Non woodland,Bare area,Scotland,465.344487242,0.93531311655,9353.1311340332,465.344487244587,307699.722235,666818.886065,0.229788944125175,0.0597218498587608
"31","485","1366",Non woodland,Bare area,Scotland,1622.36229373,4.996143631,49961.4364929199,1622.36229373219,307761.145983,667131.072605,0.0212559960782528,-0.00662011653184891
"32","490","1371",Non woodland,Bare area,Scotland,396.330090266,0.68033887875,6803.38876342773,396.33009026791,287822.887402,669720.394062,-0.0398869402706623,-0.070694737136364
"33","562","1443",Non woodland,Bare area,Scotland,286.100423479,0.5236711132,5236.71102905273,286.100423480978,278921.428054,674951.47718,0.110879756510258,-0.0461029671132565
