Species Name,Species Code,Latin Name,Species Model to Use
Select Species,,,Select Species First
Alder,,Alnus spp.,SAB
Armand's pine,,Pinus armandii,SP
Ash,AH (SAB),Fraxinus excelsior,SAB
Aspen,,Populus tremula,SAB
Atlas cedar,,Cedrus atlantica,NF
Austrian pine,,Pinus nigra var nigra,CP
Beech,BE,Fagus sylvatica,BE
Bhutan pine,,Pinus wallichiana,SP
Big leaf maple,,Acer macrophyllum,SAB
Birch (downy/silver) ,BI (SAB),Betula spp.,SAB
Bird cherry,,Prunus padus,SAB
Bishop pine,,Pinus muricata,CP
Black poplar,,Populus nigra,SAB
Black walnut,,Juglans nigra,OK
Blackthorn,,Prunus spinose,SAB
Bornmuller's fir,,Abies bornmuelleriana,NF
Box,,Buxus spp.,SAB
Calabrian pine,,Pinus brutia,SP
Cedar of Lebanon,,Cedrus libani,NF
Cider gum,,Eucalyptus gunnii,SAB
Coast redwood,,Sequoia sempervirens,GF
Common alder,,Alnus glutinosa,SAB
Common lime,,Tilia europea,SAB
Common walnut,,Juglans regia,OK
Corsican pine,CP,Pinus nigra var maritima,CP
Crab apple,,Malus sylvestris,SAB
Crack willow,,Salix fragilis,SAB
Douglas fir,DF,Pseudotsuga menziesii,DF
Downy birch,,Betula pubescens,SAB
Downy oak,,Quercus pubescens,OK
Elm,,Ulmus spp.,BE
English elm,,Ulmus procera,BE
European larch,EL,Larix decidua,EL
European silver fir,,Abies alba,NF
Field maple,,Acer campestre,SAB
Goat willow,,Salix caprea,SAB
Grand fir,GF,Abies grandis,GF
Grecian fir,,Abies cephalonica,NF
Green alder,,Alnus viridis,SAB
Grey alder,,Alnus incana,SAB
Grey poplar,,Populus canescens,SAB
Grey willow,,Salix cinerea,SAB
Hawthorn species,,Crataegus spp,SAB
Hazel,,Corylus avellana,SAB
Holly species,,Ilex spp.,SAB
Holm oak,,Quercus ilex,OK
Hornbeam,,Carpinus betulus,BE
Horse chestnut,,Aesculus hippocastanum,SAB
Hungarian oak,,Quercus frainetto,OK
Hybrid larch,HL,Larix x eurolepis,HL
Hybrid poplars,,Populus serotina/trichocarpa etc.,SAB
Italian alder,,Alnus cordata,SAB
Japanese cedar,,Cryptomeria japonica,RC
Japanese larch,JL,Larix kaempferi,JL
Korean pine,,Pinus koreana,SP
Large-leaved lime,,Tilia platyphyllos,SAB
Lawson's cypress,,Chamaecyparis lawsoniana,RC
Lenga,,Nothofagus pumilio,SAB
Leyland cypress,LEC,Cupressocyparis leylandii,LEC
Lime,,Tilia spp.,SAB
Loblolly pine,,Pinus taeda,CP
Lodgepole pine,LP,Pinus contorta,LP
London plane,,Platanus x acerifolia,SAB
Macedonian pine,,Pinus peuce,CP
Maritime pine,,Pinus pinaster,LP
Mexican white pine,,Pinus ayacahuite,SP
Mixed broadleaves,,,SAB
Mixed conifers,,,NS
Monterey pine,,Pinus radiata,CP
Mountain pine,,Pinus uncinata,SP
Narrow-leafed ash,,Fraxinus angustifolia,SAB
Noble fir,NF,Abies procera,NF
Nordmann fir,,Abies nordmanniana,NF
Norway maple,,Acer platanoides,SAB
Norway spruce,NS,Picea abies,NS
Oak (robur/petraea) ,OK,Quercus spp.,OK
Oriental beech,,Fagus orientalis,BE
Oriental spruce,,Picea orientalis,NS
Other birches,,Betula spp.,SAB
Other broadleaves,,,SAB
Other Cedar,,Cedrus spp.,NF
Other cherry spp,,Prunus spp.,SAB
Other conifers,,,NS
Other Eucalyptus,,Eucalyptus spp.,SAB
Other firs (Abies),,Abies spp.,NF
Other larches,,Larix spp.,EL
Other Nothofagus,,Nothofagus spp.,SAB
Other oak spp,,Quercus spp.,OK
Other pines,,Pinus spp.,SP
Other Poplar spp,,Populus spp.,SAB
Other spruces,,Picea spp.,NS
Other walnut,,Juglans spp.,OK
Other willows,,Salix spp.,SAB
Paper-bark birch,,Betula papyrifera,SAB
Pedunculate/common oak,,Quercus robur,OK
Plane spp,,Platanus spp.,SAB
Ponderosa pine,,Pinus ponderosa,SP
Pyrenean oak,,Quercus pyrenaica,OK
Raoul/rauli,,Nothofagus nervosa,SAB
Red alder,,Alnus rubra,SAB
Red ash,,Fraxinus pennsylvanica,SAB
Red fir (pacific silver),,Abies amabilis,GF
Red oak,,Quercus borealis,BE
Roble,,Nothofagus obliqua,SAB
Rowan,,Sorbus aucuparia,SAB
Scots pine,SP,Pinus sylvestris,SP
Serbian spruce,,Picea omorika,NS
Sessile oak,,Quercus petraea,OK
Shagbark hickory,,Carya ovata,BE
Shining gum,,Eucalyptus nitens,BE
Silver birch,,Betula pendula,SAB
Silver maple,,Acer saccharinum,SAB
Sitka spruce,SS,Picea sitchensis,SS
Slash pine,,Pinus ellottii,LP
Small-leaved lime,,Tilia cordata,SAB
Smooth-leaved elm,,Ulmus carpinifolia,BE
Sweet chestnut,,Castanea sativa,BE
Sycamore,SY (SAB),Acer pseudoplatanus,SAB
Tulip tree,,Liriodendron tulipifera,BE
Turkey oak,,Quercus cerris,OK
Wellingtonia,,Sequoiadendron giganteum,GF
Western hemlock,WH,Tsuga heterophylla,WH
Western red cedar,RC,Thuja plicata,RC
Western white pine,,Pinus monticola,LP
Weymouth pine,,Pinus strobus,SP
White ash,,Fraxinus Americana,SAB
White oak,,Quercus alba,OK
White poplar,,Populus alba,SAB
White willow,,Salix alba,SAB
Whitebeam,,Sorbus aria,SAB
"Wild cherry, gean",,Prunus avium,SAB
Wild service tree,,Sorbus torminalis,SAB
Wych elm,,Ulmus glabra,BE
Yew,,Taxus baccata,SP
Yunnan pine,,Pinus yunnanensis,SP
