idx,lr,layers,neurons,max_iter,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
0.0,0.01,3.0,5.0,100.0,0.1385263442993164,0.0006006240844726562,0.5999678841578723,0.35996146202087403,0.08849093088548751
1.0,0.01,3.0,5.0,200.0,0.143129301071167,0.0008008003234863282,0.5806576232861068,0.33716327548027036,0.14565003788874678
2.0,0.01,3.0,5.0,500.0,0.12431125640869141,0.000400543212890625,0.604577142664918,0.3655135214328766,0.07371310256031698
3.0,0.01,3.0,5.0,1000.0,0.15193791389465333,0.0008006572723388671,0.613941629176296,0.3769243240356445,0.04460713269358081
4.0,0.01,3.0,10.0,100.0,0.1619476318359375,0.0008007049560546875,1.2763638345313888,1.6291046380996703,-3.0904700185102074
5.0,0.01,3.0,10.0,200.0,0.13832516670227052,0.0006005287170410157,0.6750757536941941,0.4557272732257843,-0.1556481316692989
6.0,0.01,3.0,10.0,500.0,0.15774245262145997,0.000600433349609375,0.6025576794188855,0.3630757570266724,0.08181664455523088
7.0,0.01,3.0,10.0,1000.0,0.13672361373901368,0.00040063858032226565,0.7754737828629612,0.6013595879077911,-0.5241208455290913
8.0,0.01,3.0,20.0,100.0,0.14785962104797362,0.00040035247802734376,0.6316715928827538,0.3990090012550354,-0.011853446887167718
9.0,0.01,3.0,20.0,200.0,0.1339770793914795,0.00020017623901367188,0.5878878267037846,0.345612096786499,0.1251807617571273
10.0,0.01,3.0,20.0,500.0,0.11590461730957032,0.0,0.5823822345714144,0.33916906714439393,0.14044394504025526
11.0,0.01,3.0,20.0,1000.0,0.13332052230834962,0.0010009765625,0.7361006974937183,0.5418442368507386,-0.3712731071556182
12.0,0.01,3.0,50.0,100.0,0.17596287727355958,0.0008005142211914062,0.6137089592444874,0.3766386866569519,0.043611193577423914
13.0,0.01,3.0,50.0,200.0,0.20159759521484374,0.0008009433746337891,0.7075789211454458,0.500667929649353,-0.2726760346582523
14.0,0.01,3.0,50.0,500.0,0.19626808166503906,0.0010009765625,0.7000725546769455,0.4901015818119049,-0.24166121892116274
15.0,0.01,3.0,50.0,1000.0,0.17033891677856444,0.0006003856658935546,0.603558096270866,0.3642823755741119,0.08015615780253152
16.0,0.01,3.0,100.0,100.0,0.2429793357849121,0.0012010574340820313,0.5871962289531878,0.3447994112968445,0.1253921514875091
17.0,0.01,3.0,100.0,200.0,0.2628230094909668,0.001001119613647461,0.6001462340965429,0.36017550230026246,0.08794778470746178
18.0,0.01,3.0,100.0,500.0,0.40050463676452636,0.0012011528015136719,0.6040652442076465,0.36489481925964357,0.07506037390740435
19.0,0.01,3.0,100.0,1000.0,0.25643305778503417,0.0012011528015136719,0.5851871874465279,0.34244404435157777,0.13085832120878652
20.0,0.01,5.0,5.0,100.0,0.15654497146606444,0.0008008956909179687,0.5939524154965927,0.3527794718742371,0.10782242451570882
21.0,0.01,5.0,5.0,200.0,0.15854334831237793,0.0004004001617431641,0.5727557118054848,0.3280491054058075,0.1690195529826015
22.0,0.01,5.0,5.0,500.0,0.24101853370666504,0.0006007194519042969,0.58025212616307,0.3366925299167633,0.14570439237991778
23.0,0.01,5.0,5.0,1000.0,0.31468567848205564,0.00040035247802734376,0.5929094589002605,0.35154162645339965,0.11007677144833312
24.0,0.01,5.0,10.0,100.0,0.15594096183776857,0.0008006095886230469,0.5723349519470483,0.3275672972202301,0.1708795844798611
25.0,0.01,5.0,10.0,200.0,0.1825655460357666,0.0008005142211914062,0.6063204036221492,0.367624431848526,0.06953174378244735
26.0,0.01,5.0,10.0,500.0,0.2057863712310791,0.0008007526397705078,0.5811049803438182,0.3376829981803894,0.14489194037433037
27.0,0.01,5.0,10.0,1000.0,0.13352103233337403,0.00040030479431152344,0.5782127623057057,0.33432999849319456,0.15292294885545163
28.0,0.01,5.0,20.0,100.0,0.10769715309143066,0.0006006240844726562,0.6814399358220752,0.46436038613319397,-0.16546056665669845
29.0,0.01,5.0,20.0,200.0,0.16134605407714844,0.0006005287170410157,0.5764023762648004,0.3322396993637085,0.15805128733353727
30.0,0.01,5.0,20.0,500.0,0.20561013221740723,0.0004004955291748047,0.5945813983715555,0.3535270392894745,0.10416284073461043
