idx,lr,epochs,dropout,layers,neurons,test_rmse,test_mae,test_r2
0.0,0.01,50.0,0.2,2.0,20.0,2.255470324802988,2.15354061126709,-18.481164423835093
1.0,0.01,50.0,0.2,2.0,50.0,3.8788538013315144,3.8258116245269775,-35.82770764704502
2.0,0.01,50.0,0.2,2.0,100.0,3.878830156708988,3.8258097171783447,-35.85785380782601
3.0,0.01,50.0,0.2,3.0,20.0,0.5903751693621608,0.4580700993537903,0.14745460619834105
4.0,0.01,50.0,0.2,3.0,50.0,3.8786346838753296,3.8255566358566284,-35.8245054531025
5.0,0.01,50.0,0.2,3.0,100.0,3.878850738304827,3.8258239030838013,-35.83229636974109
6.0,0.01,50.0,0.2,5.0,20.0,0.5737682107259867,0.45707958936691284,0.1921411720733548
7.0,0.01,50.0,0.2,5.0,50.0,0.5743063294374955,0.4558788686990738,0.1903192372555494
8.0,0.01,50.0,0.2,5.0,100.0,3.8791229511836205,3.8260915279388428,-35.83269508562342
9.0,0.01,50.0,0.2,7.0,20.0,0.5844474010405182,0.4589028060436249,0.1633729924055266
10.0,0.01,50.0,0.2,7.0,50.0,0.6313849383303016,0.48464685678482056,0.02394826777016157
11.0,0.01,50.0,0.2,7.0,100.0,0.617338582139491,0.4770774245262146,0.06479926420959253
12.0,0.01,50.0,0.5,2.0,20.0,3.8751874225665945,3.8197776079177856,-35.764603758022915
13.0,0.01,50.0,0.5,2.0,50.0,3.8787201462504557,3.825734257698059,-35.92999248024631
14.0,0.01,50.0,0.5,2.0,100.0,3.878835157692296,3.8256930112838745,-35.87182445184545
15.0,0.01,50.0,0.5,3.0,20.0,0.6086047301121009,0.46643978357315063,0.09315790601354734
16.0,0.01,50.0,0.5,3.0,50.0,3.8795753636798125,3.8265925645828247,-35.86684451445669
17.0,0.01,50.0,0.5,3.0,100.0,3.879078019524644,3.826066493988037,-35.846905981683264
18.0,0.01,50.0,0.5,5.0,20.0,0.6066499114014905,0.4708706885576248,0.09934488535746294
19.0,0.01,50.0,0.5,5.0,50.0,0.6427277390444577,0.4940190464258194,-0.010817442293810653
20.0,0.01,50.0,0.5,5.0,100.0,3.8792044073201417,3.826237916946411,-35.898591215925116
21.0,0.01,50.0,0.5,7.0,20.0,0.6380646809876849,0.49033936858177185,0.002999766228281353
22.0,0.01,50.0,0.5,7.0,50.0,0.6254696243406686,0.4787496030330658,0.0425548186360179
23.0,0.01,50.0,0.5,7.0,100.0,2.2431147884495117,2.141744375228882,-17.20222969217052
24.0,0.01,50.0,0.7,2.0,20.0,3.878148407263775,3.824444532394409,-35.80848402324378
25.0,0.01,50.0,0.7,2.0,50.0,3.87822985521992,3.8244999647140503,-35.851564411076936
26.0,0.01,50.0,0.7,2.0,100.0,3.8788935621189533,3.825852155685425,-35.81692448543642
27.0,0.01,50.0,0.7,3.0,20.0,2.1116215428973866,1.9561425298452377,-15.650017245720253
28.0,0.01,50.0,0.7,3.0,50.0,3.879007482312545,3.8259671926498413,-35.917924910918
