idx,n_components,max_iter,scale,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
0,1,50,True,0.0016013145446777343,0.0006005764007568359,0.605685513261987,0.36685494097543675,0.07216323336131585
1,1,50,False,0.001401376724243164,0.00040044784545898435,0.5610099554005625,0.31473217005854115,0.20261099995770665
2,1,100,True,0.0014014244079589844,0.000600433349609375,0.605685513261987,0.36685494097543675,0.07216323336131585
3,1,100,False,0.0016013622283935548,0.00040030479431152344,0.5610099554005625,0.31473217005854115,0.20261099995770665
4,1,500,True,0.0012011528015136719,0.0006003379821777344,0.605685513261987,0.36685494097543675,0.07216323336131585
5,1,500,False,0.0010004997253417968,0.000600433349609375,0.5610099554005625,0.31473217005854115,0.20261099995770665
6,1,1000,True,0.00120086669921875,0.0006006240844726562,0.605685513261987,0.36685494097543675,0.07216323336131585
7,1,1000,False,0.0014005184173583984,0.0006006717681884766,0.5610099554005625,0.31473217005854115,0.20261099995770665
8,2,50,True,0.003603219985961914,0.0006006717681884766,0.5669714386178882,0.32145661220843785,0.18555067432551803
9,2,50,False,0.0036029815673828125,0.0008012771606445313,0.5611875507266965,0.31493146709062847,0.20202908290321667
10,2,100,True,0.003802585601806641,0.00040030479431152344,0.5669714386178882,0.32145661220843785,0.18555067432551803
11,2,100,False,0.0016008377075195312,0.0006003856658935546,0.5611875507266965,0.31493146709062847,0.20202908290321667
12,2,500,True,0.0014022350311279296,0.00040035247802734376,0.5669714386178882,0.32145661220843785,0.18555067432551803
13,2,500,False,0.0016008853912353516,0.00040073394775390624,0.5611875507266965,0.31493146709062847,0.20202908290321667
14,2,1000,True,0.0014011859893798828,0.0006003856658935546,0.5669714386178882,0.32145661220843785,0.18555067432551803
15,2,1000,False,0.0012010574340820313,0.0004004001617431641,0.5611875507266965,0.31493146709062847,0.20202908290321667
16,3,50,True,0.0016019344329833984,0.0006000995635986328,0.566594312591312,0.3210291150608214,0.18752654944761724
17,3,50,False,0.001801443099975586,0.0004002571105957031,0.5611681329520907,0.31490967344093534,0.2020983636163153
18,3,100,True,0.0016016006469726563,0.0004004955291748047,0.566594312591312,0.3210291150608214,0.18752654944761724
19,3,100,False,0.0014014720916748046,0.0006003856658935546,0.5611681329520907,0.31490967344093534,0.2020983636163153
20,3,500,True,0.001802349090576172,0.00040063858032226565,0.566594312591312,0.3210291150608214,0.18752654944761724
21,3,500,False,0.0012012004852294921,0.0007998466491699219,0.5611681329520907,0.31490967344093534,0.2020983636163153
22,3,1000,True,0.0018019676208496094,0.0006003856658935546,0.566594312591312,0.3210291150608214,0.18752654944761724
23,3,1000,False,0.0016016006469726563,0.0006005287170410157,0.5611681329520907,0.31490967344093534,0.2020983636163153
24,4,50,True,0.0020026683807373045,0.0006006240844726562,0.5599953353135706,0.31359477557295834,0.20563410154873987
25,4,50,False,0.002002048492431641,0.0004001617431640625,0.5609412780429399,0.3146551174124468,0.20272419979581477
26,4,100,True,0.002001953125,0.0003996849060058594,0.5599953353135706,0.31359477557295834,0.20563410154873987
27,4,100,False,0.0016010284423828125,0.0004002571105957031,0.5609412780429399,0.3146551174124468,0.20272419979581477
28,4,500,True,0.0016010284423828125,0.0006003856658935546,0.5599953353135706,0.31359477557295834,0.20563410154873987
29,4,500,False,0.0017988204956054688,0.0006006717681884766,0.5609412780429399,0.3146551174124468,0.20272419979581477
30,4,1000,True,0.0024014949798583985,0.0004004955291748047,0.5599953353135706,0.31359477557295834,0.20563410154873987
31,4,1000,False,0.0018016815185546875,0.0003997802734375,0.5609412780429399,0.3146551174124468,0.20272419979581477
32,5,50,True,0.002203226089477539,0.0003996849060058594,0.5684006230778763,0.323079268315318,0.1825153165749615
33,5,50,False,0.0018009662628173829,0.00040035247802734376,0.5613470802677901,0.3151105445251728,0.2016084572047366
34,5,100,True,0.002002096176147461,0.0006005764007568359,0.5684006230778763,0.323079268315318,0.1825153165749615
35,5,100,False,0.002002573013305664,0.0006005287170410157,0.5613470802677901,0.3151105445251728,0.2016084572047366
36,5,500,True,0.0020014286041259766,0.0006005287170410157,0.5684006230778763,0.323079268315318,0.1825153165749615
37,5,500,False,0.0016017913818359374,0.0006007194519042969,0.5613470802677901,0.3151105445251728,0.2016084572047366
38,5,1000,True,0.002000904083251953,0.00040044784545898435,0.5684006230778763,0.323079268315318,0.1825153165749615
39,5,1000,False,0.0020018100738525392,0.00020017623901367188,0.5613470802677901,0.3151105445251728,0.2016084572047366
40,6,50,True,0.0022016048431396486,0.000400543212890625,0.5599932931180888,0.31359248833724174,0.20548538441552341
41,6,50,False,0.0020021915435791014,0.0006001472473144531,0.5946011689532203,0.35355055012053604,0.10573763442281084
42,6,100,True,0.0022019386291503907,0.0004002571105957031,0.5599932931180888,0.31359248833724174,0.20548538441552341
43,6,100,False,0.002001667022705078,0.0006006240844726562,0.5946011689532203,0.35355055012053604,0.10573763442281084
44,6,500,True,0.002002525329589844,0.0006007194519042969,0.5599932931180888,0.31359248833724174,0.20548538441552341
45,6,500,False,0.002602386474609375,0.0004008293151855469,0.5946011689532203,0.35355055012053604,0.10573763442281084
46,6,1000,True,0.002602243423461914,0.0004002571105957031,0.5599932931180888,0.31359248833724174,0.20548538441552341
47,6,1000,False,0.002001190185546875,0.00040044784545898435,0.5946011689532203,0.35355055012053604,0.10573763442281084
48,7,50,True,0.002402067184448242,0.0004002571105957031,0.5636532439959837,0.317704979467196,0.19509628378768662
49,7,50,False,0.0024030208587646484,0.0006000518798828125,0.6013779463151683,0.36165543431424946,0.083734441844594
50,7,100,True,0.0022005558013916014,0.0008008003234863282,0.5636532439959837,0.317704979467196,0.19509628378768662
51,7,100,False,0.00220341682434082,0.0005993843078613281,0.6013779463151683,0.36165543431424946,0.083734441844594
52,7,500,True,0.0023966312408447267,0.000600433349609375,0.5636532439959837,0.317704979467196,0.19509628378768662
53,7,500,False,0.002001333236694336,0.0006001949310302735,0.6013779463151683,0.36165543431424946,0.083734441844594
54,7,1000,True,0.002602815628051758,0.00019993782043457032,0.5636532439959837,0.317704979467196,0.19509628378768662
55,7,1000,False,0.002201700210571289,0.0006005287170410157,0.6013779463151683,0.36165543431424946,0.083734441844594
56,8,50,True,0.0028032779693603514,0.00020041465759277344,0.5771382360036029,0.3330885434573505,0.1577570058652069
57,8,50,False,0.002202415466308594,0.0006001472473144531,0.6208149970015421,0.3854112605020247,0.027082438110590034
58,8,100,True,0.0026025295257568358,0.0004002571105957031,0.5771382360036029,0.3330885434573505,0.1577570058652069
59,8,100,False,0.002601814270019531,0.00040035247802734376,0.6208149970015421,0.3854112605020247,0.027082438110590034
60,8,500,True,0.0028028964996337892,0.0004001617431640625,0.5771382360036029,0.3330885434573505,0.1577570058652069
61,8,500,False,0.002802610397338867,0.00020003318786621094,0.6208149970015421,0.3854112605020247,0.027082438110590034
62,8,1000,True,0.002802324295043945,0.00040035247802734376,0.5771382360036029,0.3330885434573505,0.1577570058652069
63,8,1000,False,0.0026033878326416015,0.0003994941711425781,0.6208149970015421,0.3854112605020247,0.027082438110590034
64,9,50,True,0.0030029296875,0.0006007671356201172,0.5785215006676291,0.3346871267347255,0.15374160144008675
65,9,50,False,0.0024023056030273438,0.0006004810333251953,0.775871515809936,0.6019766090452078,-0.5227263055929603
66,9,100,True,0.0026023387908935547,0.0006000518798828125,0.5785215006676291,0.3346871267347255,0.15374160144008675
67,9,100,False,0.0028037071228027345,0.00039987564086914064,0.775871515809936,0.6019766090452078,-0.5227263055929603
68,9,500,True,0.002791881561279297,0.0006005287170410157,0.5785215006676291,0.3346871267347255,0.15374160144008675
69,9,500,False,0.0028022289276123046,0.00040035247802734376,0.775871515809936,0.6019766090452078,-0.5227263055929603
70,9,1000,True,0.0030040740966796875,0.00020017623901367188,0.5785215006676291,0.3346871267347255,0.15374160144008675
71,9,1000,False,0.003002166748046875,0.00019993782043457032,0.775871515809936,0.6019766090452078,-0.5227263055929603
72,10,50,True,0.0032021522521972655,0.00020017623901367188,0.5938230911880648,0.35262586362814863,0.10963679536308499
73,10,50,False,0.002802133560180664,0.00020017623901367188,0.8164147467454466,0.6665330387034316,-0.6868194562170773
74,10,100,True,0.003002834320068359,0.0006005287170410157,0.5938230911880648,0.35262586362814863,0.10963679536308499
