WKT,fid,id,left,top,right,bottom,AGB
POINT (293261.8479 652590.5522),1,1,293261.8479,652590.5522,293561.8479,652890.5522,
POINT (293261.8479 652290.5522),2,2,293261.8479,652290.5522,293561.8479,652590.5522,
POINT (293261.8479 651990.5522),3,3,293261.8479,651990.5522,293561.8479,652290.5522,
POINT (293261.8479 651690.5522),4,4,293261.8479,651690.5522,293561.8479,651990.5522,
POINT (293261.8479 651390.5522),5,5,293261.8479,651390.5522,293561.8479,651690.5522,
POINT (293261.8479 651090.5522),6,6,293261.8479,651090.5522,293561.8479,651390.5522,
POINT (293261.8479 650790.5522),7,7,293261.8479,650790.5522,293561.8479,651090.5522,
POINT (293261.8479 650490.5522),8,8,293261.8479,650490.5522,293561.8479,650790.5522,
POINT (293261.8479 650190.5522),9,9,293261.8479,650190.5522,293561.8479,650490.5522,
POINT (293261.8479 649890.5522),10,10,293261.8479,649890.5522,293561.8479,650190.5522,
POINT (293261.8479 649590.5522),11,11,293261.8479,649590.5522,293561.8479,649890.5522,
POINT (293261.8479 649290.5522),12,12,293261.8479,649290.5522,293561.8479,649590.5522,
POINT (293261.8479 648990.5522),13,13,293261.8479,648990.5522,293561.8479,649290.5522,
POINT (293261.8479 648690.5522),14,14,293261.8479,648690.5522,293561.8479,648990.5522,
POINT (293261.8479 648390.5522),15,15,293261.8479,648390.5522,293561.8479,648690.5522,
POINT (293261.8479 648090.5522),16,16,293261.8479,648090.5522,293561.8479,648390.5522,
POINT (293261.8479 647790.5522),17,17,293261.8479,647790.5522,293561.8479,648090.5522,
POINT (293261.8479 647490.5522),18,18,293261.8479,647490.5522,293561.8479,647790.5522,
POINT (293261.8479 647190.5522),19,19,293261.8479,647190.5522,293561.8479,647490.5522,
POINT (293261.8479 646890.5522),20,20,293261.8479,646890.5522,293561.8479,647190.5522,
POINT (293261.8479 646590.5522),21,21,293261.8479,646590.5522,293561.8479,646890.5522,
POINT (293261.8479 646290.5522),22,22,293261.8479,646290.5522,293561.8479,646590.5522,
POINT (293261.8479 645990.5522),23,23,293261.8479,645990.5522,293561.8479,646290.5522,
POINT (293261.8479 645690.5522),24,24,293261.8479,645690.5522,293561.8479,645990.5522,
POINT (293261.8479 645390.5522),25,25,293261.8479,645390.5522,293561.8479,645690.5522,
POINT (293261.8479 645090.5522),26,26,293261.8479,645090.5522,293561.8479,645390.5522,
POINT (293261.8479 644790.5522),27,27,293261.8479,644790.5522,293561.8479,645090.5522,
POINT (293261.8479 644490.5522),28,28,293261.8479,644490.5522,293561.8479,644790.5522,
POINT (293261.8479 644190.5522),29,29,293261.8479,644190.5522,293561.8479,644490.5522,
POINT (293261.8479 643890.5522),30,30,293261.8479,643890.5522,293561.8479,644190.5522,
