fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len
"1","349","1230",Non woodland,Bare area,Scotland,348.329317069,0.7809719519,7809.71952819824,348.329317069556
"2","352","1233",Non woodland,Bare area,Scotland,1259.49437558,1.32116781855,13211.6781921387,1259.49437557635
"3","353","1234",Non woodland,Bare area,Scotland,347.870523746,0.6975947306,6975.94738769531,347.870523745391
"4","355","1236",Non woodland,Bare area,Scotland,660.340697728,1.51252122955,15125.212310791,660.34069772785
"5","357","1238",Non woodland,Bare area,Scotland,545.436501159,1.2234235666,12234.2355957031,545.436501160874
"6","358","1239",Non woodland,Bare area,Scotland,324.187717147,0.59971313135,5997.1312713623,324.187717146992
"7","359","1240",Non woodland,Bare area,Scotland,499.61759397,1.3227828177,13227.8282318115,499.617593969524
"8","361","1242",Non woodland,Bare area,Scotland,483.537080156,0.74186554675,7418.65547180176,483.537080154324
"9","362","1243",Non woodland,Bare area,Scotland,483.021969177,1.4547923201,14547.9231719971,483.021969175458
"10","363","1244",Non woodland,Bare area,Scotland,427.096755267,0.719830949,7198.30950927734,427.096755266432
"11","364","1245",Non woodland,Bare area,Scotland,395.365514888,0.8137863239,8137.86323547363,395.36551488741
"12","365","1246",Non woodland,Bare area,Scotland,387.149086657,0.50627563385,5062.75637817383,387.14908665656
"13","366","1247",Non woodland,Bare area,Scotland,385.456513002,0.8596073811,8596.07376098633,385.456512999212
"14","368","1249",Non woodland,Bare area,Scotland,461.050118707,0.6009020057,6009.02008056641,461.050118706511
"15","370","1251",Non woodland,Bare area,Scotland,351.056652664,0.59928545605,5992.85466003418,351.056652662876
"16","373","1254",Non woodland,Bare area,Scotland,3636.12734061,36.8569340813,368569.340820313,3636.12734061108
"17","374","1255",Non woodland,Bare area,Scotland,507.684677691,0.50801592345,5080.1591796875,507.684677692019
"18","375","1256",Non woodland,Bare area,Scotland,1974.3019639,5.4407226759,54407.2265625,1974.30196390097
"19","377","1258",Non woodland,Bare area,Scotland,464.396441793,0.88518317045,8851.83172607422,464.396441793219
"20","379","1260",Non woodland,Bare area,Scotland,565.59308477,0.943981822501,9439.81817626953,565.593084770151
