idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
0.0,0.1,50.0,1.0,4.598399353027344,0.0046004772186279295,0.6401518131344133,0.4097943438592767,0.6160081379518276
1.0,0.1,50.0,2.0,7.760303258895874,0.006202030181884766,0.5777062320246872,0.33374449052016175,0.6869505707870209
2.0,0.1,50.0,3.0,12.735198259353638,0.012799501419067383,0.5525831541657339,0.3053481422677512,0.713471417816392
3.0,0.1,50.0,5.0,18.917795133590698,0.01200098991394043,0.5451712785476135,0.2972117229532396,0.7212333614952083
4.0,0.1,50.0,10.0,32.85359797477722,0.02720198631286621,0.5578538485578489,0.31120091635080344,0.7076524553688956
5.0,0.1,100.0,1.0,7.94899959564209,0.011800289154052734,0.6135931828387116,0.3764965940261405,0.6471217420257235
6.0,0.1,100.0,2.0,17.337397193908693,0.026398754119873045,0.5610984311330508,0.314831449419971,0.7048326171765809
7.0,0.1,100.0,3.0,35.04459843635559,0.046399688720703124,0.546785537122705,0.29897442360656495,0.7197109199628257
8.0,0.1,100.0,5.0,44.56299648284912,0.025800228118896484,0.5436514801311869,0.2955569318488303,0.7229350389193764
9.0,0.1,100.0,10.0,74.28261909484863,0.04580044746398926,0.5575326517233171,0.3108426577376336,0.7079921347430393
10.0,0.1,200.0,1.0,16.422009468078613,0.01280059814453125,0.6022576906366264,0.36271432593096237,0.6600044859319559
11.0,0.1,200.0,2.0,29.441999101638793,0.026199150085449218,0.5579903346840984,0.3113532136008722,0.7078370188159435
12.0,0.1,200.0,3.0,57.505397176742555,0.025201416015625,0.5465467740629739,0.2987133762386434,0.720022705327288
13.0,0.1,200.0,5.0,90.51859736442566,0.04179854393005371,0.5455836593793714,0.29766152938178586,0.7209537538299131
14.0,0.1,200.0,10.0,168.97033352851867,0.10260233879089356,0.5579193765598168,0.31127403074089466,0.7075767548427185
15.0,0.05,50.0,1.0,3.803199291229248,0.004999637603759766,0.6982370826709092,0.48753502361678214,0.5432166950138297
16.0,0.05,50.0,2.0,8.446796369552612,0.0059983253479003905,0.6211482610673145,0.3858251622269486,0.6382814126165597
17.0,0.05,50.0,3.0,11.130799293518066,0.008998632431030273,0.5880697560440524,0.3458260379737113,0.6759353222671088
18.0,0.05,50.0,5.0,18.487200117111207,0.012796592712402344,0.5634317124659727,0.31745529461233846,0.7022728553913227
19.0,0.05,50.0,10.0,35.560396146774295,0.059802675247192384,0.5618305879256914,0.315653609528928,0.7036213558525739
20.0,0.05,100.0,1.0,7.977399063110352,0.011601495742797851,0.6413210955254474,0.41129274756595996,0.6145809115751204
21.0,0.05,100.0,2.0,14.538196325302124,0.013000392913818359,0.5758683760244837,0.33162438650507614,0.6889884915622815
22.0,0.05,100.0,3.0,22.40180072784424,0.012999629974365235,0.5508692355643743,0.3034569146912781,0.715277439303757
23.0,0.05,100.0,5.0,38.288713455200195,0.04479622840881348,0.5452243858025934,0.2972696308738152,0.7211779542985031
24.0,0.05,100.0,10.0,72.69324331283569,0.07180180549621581,0.5532128924039444,0.30604450432193825,0.7126515522506818
25.0,0.05,200.0,1.0,15.877445077896118,0.015000438690185547,0.6140971348489521,0.3771152910296921,0.6465320772715956
26.0,0.05,200.0,2.0,29.965010166168213,0.018202781677246094,0.5593986126861948,0.31292680787523947,0.7066081179772004
27.0,0.05,200.0,3.0,49.154010105133054,0.02720222473144531,0.5461251313891055,0.29825265913476773,0.720199655912552
28.0,0.05,200.0,5.0,83.88500947952271,0.04420018196105957,0.5441493367713672,0.2960985007087188,0.7223958344851132
29.0,0.05,200.0,10.0,160.42023196220399,0.11260242462158203,0.5524487568423876,0.30519962893669944,0.7134174063461571
30.0,0.005,50.0,1.0,4.707215070724487,0.004200553894042969,0.9444184047467384,0.8919261232243743,0.16405346429208262
31.0,0.005,50.0,2.0,9.068597269058227,0.01240072250366211,0.9157217552748719,0.8385463330836924,0.2143089484424224
32.0,0.005,50.0,3.0,12.399052715301513,0.00920119285583496,0.9066015610956715,0.8219263905811086,0.2299656343828616
33.0,0.005,50.0,5.0,19.495996761322022,0.016201496124267578,0.8894840138910582,0.7911818109677483,0.25844537508758053
34.0,0.005,50.0,10.0,36.220012712478635,0.028401803970336915,0.8775647427182307,0.7701198776621145,0.27798312593352836
35.0,0.005,100.0,1.0,7.562595081329346,0.006195211410522461,0.8850984736554676,0.7833993080672383,0.26566994662816323
36.0,0.005,100.0,2.0,15.550079154968262,0.012998056411743165,0.833576879899567,0.6948504147030972,0.3490206666541067
37.0,0.005,100.0,3.0,24.341598081588746,0.02059907913208008,0.8158086668850862,0.6655437809648216,0.376638094588029
38.0,0.005,100.0,5.0,37.83059864044189,0.03300037384033203,0.7864096129854953,0.6184400793959964,0.4203079141055581
39.0,0.005,100.0,10.0,66.95523943901063,0.07040247917175294,0.7700257569384442,0.5929396663486239,0.44374953654849464
40.0,0.005,200.0,1.0,14.839999580383301,0.009797286987304688,0.8107138845442609,0.6572570025928451,0.3839450709620993
41.0,0.005,200.0,2.0,37.00791697502136,0.026798820495605467,0.7351595621568745,0.5404595818306874,0.4936534716595675
42.0,0.005,200.0,3.0,49.5356204032898,0.027597761154174803,0.7085201030100559,0.5020007363693801,0.529779971363965
43.0,0.005,200.0,5.0,70.74279918670655,0.047598981857299806,0.666104410682468,0.44369508593063794,0.5839995135233341
44.0,0.005,200.0,10.0,144.21099390983582,0.1442018508911133,0.6466891335683898,0.4182068354754347,0.607412365787978
