idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,max_feature
0,,100,,19.02820086,0.287999582,0.329139194,0.108332609,0.707899662,0.166666667
1,,100,,36.36739426,0.288201141,0.326896514,0.106861331,0.711656088,0.333333333
2,,100,,53.90879745,0.281201839,0.3290251,0.108257517,0.707921418,0.5
3,,200,,38.12419395,0.642005014,0.328461121,0.107886708,0.709111842,0.166666667
4,,200,,72.97099638,0.559800386,0.32650571,0.106605978,0.712555369,0.333333333
5,,200,,109.3939979,0.586401939,0.327242186,0.107087448,0.71111054,0.5
6,,300,,58.39399729,1.009203005,0.327251065,0.107093259,0.711426716,0.166666667
7,,300,,109.3035976,0.905799675,0.32559345,0.106011094,0.713978904,0.333333333
8,,300,,163.0433882,1.159284306,0.326687942,0.106725011,0.712126767,0.5
9,,400,,78.77519641,1.337802887,0.327446934,0.107221495,0.710857812,0.166666667
10,,400,,143.7349969,1.154401207,0.326317305,0.106482983,0.712944966,0.333333333
11,,400,,214.3653986,1.139003468,0.326675455,0.106716853,0.711973232,0.5
12,,500,,95.18599896,1.557202053,0.328431585,0.107867306,0.709071747,0.166666667
13,,500,,181.4179964,1.426000547,0.325354559,0.105855589,0.714423409,0.333333333
14,,500,,271.8753965,1.422600937,0.326077219,0.106326353,0.713186636,0.5
15,,600,,113.4411965,1.925602341,0.327747874,0.107418669,0.710388967,0.166666667
16,,600,,269.3934447,2.104001188,0.325714787,0.106090123,0.713873131,0.333333333
17,,600,,371.264559,1.942304277,0.325934749,0.106233461,0.713317892,0.5
18,,700,,159.99143,3.111592627,0.32796631,0.107561901,0.709877756,0.166666667
19,,700,,312.1903265,2.165602446,0.325772102,0.106127462,0.713711993,0.333333333
20,,700,,379.6301978,2.066802216,0.326744988,0.106762287,0.711960268,0.5
21,,800,,152.8305959,2.560401344,0.328113464,0.107658445,0.709806266,0.166666667
22,,800,,336.816199,2.463401079,0.32588756,0.106202702,0.713529688,0.333333333
23,,800,,471.6404828,2.462601137,0.326629333,0.106686721,0.712133795,0.5
24,,900,,185.369113,4.273400784,0.327880798,0.107505818,0.710245884,0.166666667
25,,900,,324.6187125,2.753601646,0.324871757,0.105541658,0.715355193,0.333333333
26,,900,,505.8877848,3.007600784,0.326816823,0.106809236,0.711880229,0.5
27,,1000,,212.4122711,3.24139843,0.328011692,0.10759167,0.70993827,0.166666667
28,,1000,,372.3468111,2.914802647,0.324931954,0.105580775,0.715232187,0.333333333
29,,1000,,558.5485991,2.725802565,0.326073748,0.106324089,0.713162883,0.5
30,,1100,,233.8864084,9.969600153,0.327642405,0.107349545,0.710589506,0.166666667
31,,1100,,415.8743028,3.303804827,0.325402429,0.105886741,0.714339168,0.333333333
32,,1100,,591.8952205,3.192804193,0.326176392,0.106391039,0.712962087,0.5
33,,1200,,226.6174794,3.716201448,0.327800069,0.107452885,0.710273021,0.166666667
34,,1200,,420.8500661,4.174124908,0.325072154,0.105671905,0.714959993,0.333333333
35,,1200,,609.4013583,3.939502001,0.326085375,0.106331671,0.713115857,0.5
36,,1300,,245.9999626,19.17817073,0.327767924,0.107431812,0.710370815,0.166666667
37,,1300,,450.4575437,3.916801119,0.325095559,0.105687122,0.714862636,0.333333333
38,,1300,,679.3948768,5.721401548,0.326309566,0.106477933,0.712757616,0.5
39,,1400,,262.2603792,10.23667545,0.327395766,0.107187988,0.710948948,0.166666667
40,,1400,,485.1433486,4.150401592,0.325235564,0.105778172,0.714704721,0.333333333
41,,1400,,863.9266541,10.94160085,0.326285792,0.106462418,0.71277119,0.5
42,,1500,,301.4753963,18.71380138,0.328044182,0.107612985,0.709901671,0.166666667
43,,1500,,664.3069884,21.11640759,0.325552607,0.1059845,0.714221949,0.333333333
44,,1500,,1020.2472,6.491722059,0.326519481,0.106614971,0.712343029,0.5
45,,1600,,341.1301975,10.9854012,0.327573772,0.107304576,0.710634496,0.166666667
