idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,max_feature
0,,100,,18.11324859,0.198499727,0.306533572,0.093962831,0.713126649,5
1,,100,,24.77102828,0.198779249,0.303405875,0.092055125,0.719166457,7
2,,100,,31.71244183,0.194720268,0.303168397,0.091911077,0.719555977,9
3,,100,,35.14222965,0.195763683,0.302573006,0.091550424,0.72046693,10
4,,200,,35.823945,0.389201069,0.304407325,0.09266382,0.717230272,5
5,,200,,49.32632227,0.383747149,0.305284482,0.093198615,0.715763849,7
6,,200,,63.47314138,0.386078691,0.303581696,0.092161846,0.718669631,9
7,,200,,69.83586788,0.376832724,0.302004457,0.091206692,0.721795595,10
8,,300,,54.04026756,0.585040808,0.303973578,0.092399936,0.717980867,5
9,,300,,74.64935045,0.61972394,0.304012438,0.092423563,0.717911416,7
10,,300,,94.87224426,0.589538813,0.301927219,0.091160046,0.721835581,9
11,,300,,105.6947301,0.58632431,0.303284274,0.091981351,0.719434155,10
12,,400,,72.37545271,0.790614605,0.304384696,0.092650043,0.717355259,5
13,,400,,100.014151,0.782357025,0.302971701,0.091791852,0.719867817,7
14,,400,,128.4879717,0.792115879,0.303092616,0.091865134,0.719761204,9
15,,400,,140.9132498,0.775052357,0.302486574,0.091498127,0.720834416,10
16,,500,,90.33852458,0.988770962,0.305644043,0.093418281,0.714917298,5
17,,500,,124.4257286,0.968175507,0.303512829,0.092120037,0.718928735,7
18,,500,,157.8997403,0.966688061,0.302140618,0.091288953,0.721477073,9
19,,500,,173.6828607,0.962625313,0.302741837,0.09165262,0.720363083,10
20,,600,,108.4850599,1.160135221,0.304005838,0.09241955,0.718061812,5
21,,600,,150.1673869,1.161001968,0.303213098,0.091938183,0.719482963,7
22,,600,,191.1458498,1.152290058,0.302616729,0.091576885,0.720504832,9
23,,600,,209.8062716,1.169862127,0.3024167,0.09145586,0.72099414,10
24,,700,,124.0519061,1.343553209,0.304807878,0.092907842,0.716548873,5
25,,700,,172.8260676,1.364782381,0.302683797,0.091617481,0.720459689,7
26,,700,,221.1434484,1.334738445,0.304172472,0.092520893,0.71775813,9
27,,700,,246.4790112,1.363722038,0.302050498,0.091234503,0.721594314,10
28,,800,,144.3819451,1.580598068,0.303993972,0.092412335,0.718014767,5
29,,800,,200.0259261,1.558965683,0.303562189,0.092150003,0.718885172,7
30,,800,,255.7244237,1.55400424,0.302808495,0.091692985,0.72021225,9
31,,800,,280.687347,1.563482189,0.303349215,0.092020747,0.719246296,10
32,,900,,163.3487503,1.832660818,0.303705138,0.092236811,0.718526071,5
33,,900,,223.0377294,1.789656162,0.303437491,0.092074311,0.719068178,7
34,,900,,281.4358862,1.744929552,0.302343586,0.091411644,0.721072253,9
35,,900,,313.8923823,1.7569767,0.30235369,0.091417754,0.721072687,10
