idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,eta,min_child_weight,subsample
,,,8,114.3621825,0.063001442,158.9042951,25250.575,0.590510821,0.01,3,0.6
,,,8,114.9017407,0.076800966,158.9297346,25258.66055,0.59037908,0.01,1,0.6
,,,8,119.9911099,0.084999275,158.9829934,25275.59219,0.590088365,0.01,1,0.7
,,,8,110.5679869,0.068602133,158.9870855,25276.89336,0.590077405,0.01,5,0.6
,,,8,113.8971532,0.090800953,159.0168021,25286.34336,0.589932473,0.01,4,0.6
,,,10,147.234531,0.125605154,159.0686652,25302.84023,0.589671927,0.01,5,0.6
,,,8,116.7367833,0.075200701,159.0916967,25310.16797,0.589532542,0.01,5,0.7
,,,8,113.7186678,0.076605177,159.0998802,25312.77188,0.589499622,0.01,2,0.6
,,,8,124.5495237,0.091001034,159.1083517,25315.46758,0.589443664,0.01,3,0.7
,,,10,150.5854064,0.106001425,159.1423903,25326.30039,0.589274954,0.01,3,0.6
,,,8,120.3300773,0.068001413,159.1468404,25327.7168,0.589238133,0.01,2,0.7
,,,8,119.9316408,0.086604357,159.1722104,25335.79258,0.589111927,0.01,4,0.7
,,,4,55.41884089,0.034400892,159.2222957,25351.73945,0.588943564,0.05,3,0.9
,,,4,52.27827625,0.035998774,159.241785,25357.94609,0.588870755,0.05,2,0.8
,,,4,53.55941429,0.030600929,159.2561223,25362.5125,0.588811932,0.05,1,0.8
,,,8,122.6099167,0.069601107,159.2322927,25354.92305,0.588800608,0.01,5,0.8
,,,4,55.61944752,0.037200737,159.2517023,25361.10469,0.588776174,0.05,2,0.9
,,,6,91.1977941,0.043399858,159.2367256,25356.33477,0.588770809,0.05,1,0.9
,,,6,87.18732748,0.05160203,159.2523879,25361.32305,0.588730642,0.05,3,0.9
,,,10,154.2054348,0.136002874,159.2697103,25366.84063,0.58863125,0.01,1,0.6
,,,4,57.54835367,0.037201405,159.2814247,25370.57227,0.58862805,0.05,5,0.9
,,,6,80.77959166,0.04420023,159.2848875,25371.67539,0.588565746,0.05,2,0.7
,,,4,53.92219763,0.037202597,159.3046328,25377.96602,0.588552111,0.05,3,0.8
,,,10,170.0954161,0.120003462,159.2937489,25374.49844,0.588510954,0.01,2,0.6
,,,6,79.65595956,0.050201368,159.2996427,25376.37617,0.588485098,0.01,1,0.6
,,,6,84.06176667,0.051801825,159.3296492,25385.93711,0.58837875,0.05,2,0.8
,,,6,80.58565378,0.048999596,159.3276829,25385.31055,0.588343183,0.01,2,0.6
,,,6,81.83395081,0.044802761,159.3267586,25385.01602,0.58831268,0.05,5,0.8
,,,4,48.87830768,0.039799881,159.3405073,25389.39727,0.58827293,0.05,3,0.6
,,,10,174.8625213,0.13899951,159.3398442,25389.18594,0.588263794,0.01,4,0.6
,,,8,140.7537247,0.098803568,159.3349043,25387.61172,0.588246206,0.01,2,0.8
,,,4,55.14387431,0.033601093,159.3670133,25397.84492,0.588218903,0.05,1,0.9
,,,6,84.77376933,0.053201771,159.3535267,25393.54648,0.588183694,0.01,4,0.7
,,,6,80.23174567,0.053402042,159.3592848,25395.38164,0.588178645,0.01,4,0.6
,,,8,125.6180087,0.068998051,159.3482907,25391.87773,0.588175944,0.01,3,0.8
,,,4,51.20288663,0.030001926,159.3771446,25401.07422,0.588154152,0.05,5,0.7
,,,8,126.290789,0.085600424,159.3577172,25394.88203,0.588148025,0.01,4,0.8
,,,6,80.8843895,0.050200176,159.3656983,25397.42578,0.588127578,0.05,4,0.7
,,,6,84.23515186,0.046600819,159.3738456,25400.02266,0.588123405,0.05,5,0.9
,,,4,52.93741059,0.044202471,159.383338,25403.04844,0.58810488,0.05,5,0.8
,,,6,78.60020518,0.049800491,159.3750968,25400.42148,0.588094865,0.01,5,0.6
,,,10,155.2156184,0.098603106,159.3772022,25401.09258,0.588082906,0.01,5,0.7
,,,8,125.56438,0.078202486,159.3701127,25398.83281,0.58807665,0.01,1,0.8
,,,6,86.0059947,0.048600626,159.3912479,25405.56992,0.587994176,0.01,3,0.7
,,,6,80.15785894,0.053401375,159.4033124,25409.41602,0.587952148,0.01,3,0.6
,,,4,48.75382719,0.034201527,159.4077172,25410.82031,0.587928163,0.05,2,0.6
,,,6,84.27929506,0.04720006,159.4098932,25411.51406,0.587894872,0.05,1,0.8
,,,4,53.92195101,0.032600594,159.429057,25417.62422,0.587876851,0.05,4,0.8
,,,6,83.53837967,0.049002123,159.4145478,25412.99805,0.587875734,0.01,2,0.7
,,,4,54.63401012,0.038601494,159.429416,25417.73867,0.587868772,0.05,4,0.9
