idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,eta,min_child_weight,subsample
,,,2.0,8.564493417739868,0.07451119422912597,0.3459256657417212,0.11046518385410309,0.6775996021309062,0.01,2.0,0.6
,,,2.0,8.48206124305725,0.06951708793640136,0.3459256657417212,0.11046518385410309,0.6775996021309062,0.05,2.0,0.6
,,,2.0,8.78971300125122,0.07033915519714355,0.3462466950379336,0.11018379479646682,0.6770244600939765,0.01,2.0,0.8
,,,2.0,8.800287055969239,0.07180495262145996,0.3462466950379336,0.11018379479646682,0.6770244600939765,0.05,2.0,0.8
,,,2.0,8.996978712081908,0.07217941284179688,0.3496439868693607,0.11076365858316421,0.6704413126643558,0.01,2.0,1.0
,,,2.0,9.033132123947144,0.07566299438476562,0.3496439868693607,0.11076365858316421,0.6704413126643558,0.05,2.0,1.0
,,,4.0,15.740901041030884,0.14794497489929198,0.34239333942287675,0.10809694230556488,0.6839194113509315,0.01,2.0,0.6
,,,4.0,15.672199535369874,0.15455851554870606,0.34239333942287675,0.10809694230556488,0.6839194113509315,0.05,2.0,0.6
,,,4.0,16.68170142173767,0.15565958023071289,0.3430023733006884,0.10637500882148743,0.6826657427379347,0.01,2.0,0.8
,,,4.0,16.78685598373413,0.154068660736084,0.3430023733006884,0.10637500882148743,0.6826657427379347,0.05,2.0,0.8
,,,4.0,17.423605823516844,0.16025571823120116,0.34935000297777874,0.10650995373725891,0.6707152469143558,0.01,2.0,1.0
,,,4.0,17.4163697719574,0.16589570045471191,0.34935000297777874,0.10650995373725891,0.6707152469143558,0.05,2.0,1.0
,,,6.0,24.67238278388977,0.23889670372009278,0.34274757265932876,0.10807913094758988,0.6835354622891592,0.01,2.0,0.6
,,,6.0,24.692734575271608,0.24512691497802735,0.34274757265932876,0.10807913094758988,0.6835354622891592,0.05,2.0,0.6
,,,6.0,26.29535632133484,0.24521417617797853,0.34152273028589664,0.10454171001911164,0.6848661535228073,0.01,2.0,0.8
,,,6.0,26.166758918762206,0.24573707580566406,0.34152273028589664,0.10454171001911164,0.6848661535228073,0.05,2.0,0.8
,,,6.0,27.199793767929076,0.2599372863769531,0.3504152248937284,0.10521686673164368,0.667966533507205,0.01,2.0,1.0
,,,6.0,27.29278931617737,0.2514779567718506,0.3504152248937284,0.10521686673164368,0.667966533507205,0.05,2.0,1.0
,,,8.0,35.04912919998169,0.34187636375427244,0.3409199894080574,0.10760129094123841,0.6865717963991113,0.01,2.0,0.6
,,,8.0,35.020215606689455,0.3656015396118164,0.3409199894080574,0.10760129094123841,0.6865717963991113,0.05,2.0,0.6
,,,8.0,37.36099510192871,0.39066343307495116,0.3377983849370527,0.10372757166624069,0.6913089313258682,0.01,2.0,0.8
,,,8.0,37.40236043930054,0.36792731285095215,0.3377983849370527,0.10372757166624069,0.6913089313258682,0.05,2.0,0.8
,,,8.0,38.44722638130188,0.36621708869934083,0.35045930493400435,0.10309638977050781,0.6679160713618394,0.01,2.0,1.0
,,,8.0,38.4126115322113,0.3806964874267578,0.35045930493400435,0.10309638977050781,0.6679160713618394,0.05,2.0,1.0
,,,10.0,45.990631103515625,0.49844942092895506,0.34106383490864806,0.10778468698263169,0.6866351358746006,0.01,2.0,0.6
,,,10.0,45.995443439483644,0.49520120620727537,0.34106383490864806,0.10778468698263169,0.6866351358746006,0.05,2.0,0.6
,,,10.0,49.581055641174316,0.5244567394256592,0.3394732329950404,0.10418363809585571,0.6886681687464778,0.01,2.0,0.8
,,,10.0,49.80809545516968,0.5238193988800048,0.3394732329950404,0.10418363809585571,0.6886681687464778,0.05,2.0,0.8
,,,10.0,49.92891263961792,0.4924874782562256,0.35094376476059747,0.10312065333127976,0.6663494385128079,0.01,2.0,1.0
,,,10.0,49.16213216781616,0.5302712917327881,0.35094376476059747,0.10312065333127976,0.6663494385128079,0.05,2.0,1.0
,,,2.0,8.04590425491333,0.07251877784729004,0.3445845270808867,0.10998921543359756,0.6802178689370142,0.01,4.0,0.6
,,,2.0,8.139893293380737,0.06861386299133301,0.3445845270808867,0.10998921543359756,0.6802178689370142,0.05,4.0,0.6
,,,2.0,8.613097953796387,0.06994333267211914,0.3441457529367913,0.10976414382457733,0.6811827885373685,0.01,4.0,0.8
,,,2.0,8.567573833465577,0.07362155914306641,0.3441457529367913,0.10976414382457733,0.6811827885373685,0.05,4.0,0.8
,,,2.0,8.913085222244263,0.07705912590026856,0.3484414096151069,0.11130250096321107,0.6729097308779153,0.01,4.0,1.0
,,,2.0,8.986811304092408,0.07707695960998535,0.3484414096151069,0.11130250096321107,0.6729097308779153,0.05,4.0,1.0
,,,4.0,15.432436513900758,0.15509872436523436,0.33836193620147964,0.10847951471805573,0.6919625364782991,0.01,4.0,0.6
,,,4.0,15.006344938278199,0.1582333564758301,0.33836193620147964,0.10847951471805573,0.6919625364782991,0.05,4.0,0.6
,,,4.0,15.95996675491333,0.15767979621887207,0.33737186012630216,0.10664920508861542,0.6936646381310257,0.01,4.0,0.8
,,,4.0,16.308304452896117,0.1537386417388916,0.33737186012630216,0.10664920508861542,0.6936646381310257,0.05,4.0,0.8
,,,4.0,17.280818891525268,0.16548652648925782,0.34101944710423754,0.10688589960336685,0.686590077312059,0.01,4.0,1.0
