idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
30,0.005,50,1,3.734597778,0.003398943,0.544065307,0.296007058,0.204502331
31,0.005,50,2,7.406797886,0.017600679,0.538608708,0.290099341,0.220529698
32,0.005,50,3,11.12139916,0.009201241,0.532984708,0.284072699,0.236822524
33,0.005,50,5,18.80319853,0.012399387,0.526653622,0.277364037,0.254989904
34,0.005,50,10,36.37979331,0.015800524,0.522574371,0.273083974,0.266355894
35,0.005,100,1,7.585801506,0.004599619,0.498845674,0.248847007,0.331323277
36,0.005,100,2,15.11439896,0.007599497,0.488578686,0.238709132,0.358760604
37,0.005,100,3,21.68579998,0.00819788,0.478181516,0.228657562,0.385972207
38,0.005,100,5,37.47519889,0.021998024,0.468219485,0.219229486,0.411229943
39,0.005,100,10,71.97119684,0.036999989,0.464056126,0.215348088,0.42170871
40,0.005,200,1,15.21760125,0.006998205,0.449987069,0.202488362,0.455844614
41,0.005,200,2,30.75219922,0.014797497,0.431815815,0.186464898,0.499080401
42,0.005,200,3,43.15379539,0.014800692,0.41695159,0.173848628,0.53308194
15,0.05,50,1,4.781833124,0.004599953,0.403264184,0.162622002,0.562955201
43,0.005,200,5,74.00839753,0.022400618,0.402010404,0.161612365,0.565759014
44,0.005,200,10,145.021211,0.077401257,0.399203093,0.159363109,0.572295618
0,0.1,50,1,3.692997169,0.003201008,0.388376265,0.150836123,0.59448187
20,0.05,100,1,7.370210791,0.00479908,0.38829736,0.15077484,0.59463659
5,0.1,100,1,7.061393642,0.00879941,0.381827268,0.145792063,0.607757869
25,0.05,200,1,19.75723348,0.019001198,0.381646609,0.145654134,0.608131982
16,0.05,50,2,8.150411654,0.005599451,0.38004671,0.144435501,0.611508749
10,0.1,200,1,15.30860052,0.008598661,0.379730656,0.144195371,0.611941017
17,0.05,50,3,10.78962507,0.006399775,0.364912498,0.133161131,0.642300285
19,0.05,50,10,35.32059979,0.020800543,0.361857882,0.130941127,0.647386962
21,0.05,100,2,14.20283761,0.006998873,0.361289716,0.130530259,0.648559279
9,0.1,100,10,69.88079648,0.047802067,0.360932659,0.130272384,0.648754688
14,0.1,200,10,139.8521969,0.078399563,0.360909732,0.130255835,0.6488091
4,0.1,50,10,35.36899662,0.018399906,0.360614273,0.130042654,0.649353296
1,0.1,50,2,7.222396278,0.004802084,0.359957776,0.129569601,0.651093228
24,0.05,100,10,95.0149313,0.051000261,0.35777326,0.128001706,0.654835894
29,0.05,200,10,177.5315864,0.088201666,0.357421346,0.127750019,0.65545333
26,0.05,200,2,38.78211422,0.030600119,0.353709706,0.125110556,0.663173876
6,0.1,100,2,15.22119656,0.009603596,0.352829822,0.124488883,0.664793722
18,0.05,50,5,17.83425436,0.009198904,0.351741353,0.12372198,0.666549367
11,0.1,200,2,29.72300301,0.01939764,0.350991757,0.123195213,0.668152049
2,0.1,50,3,11.11939893,0.011799479,0.347862566,0.121008365,0.674488625
13,0.1,200,5,72.38319535,0.032002068,0.347580358,0.120812105,0.674562777
3,0.1,50,5,18.20979896,0.008601093,0.347093249,0.120473723,0.675545569
23,0.05,100,5,44.30559173,0.020401573,0.346914872,0.120349928,0.67582629
8,0.1,100,5,37.10219746,0.017004538,0.345893582,0.11964237,0.677801312
28,0.05,200,5,96.16640882,0.044598675,0.345508017,0.11937579,0.67850105
22,0.05,100,3,21.41077967,0.012200928,0.345537064,0.119395863,0.678892375
7,0.1,100,3,22.12300549,0.020793152,0.344073893,0.118386844,0.681276902
12,0.1,200,3,42.31299715,0.025200653,0.343156804,0.117756592,0.682779494
27,0.05,200,3,58.36316862,0.029201984,0.341123733,0.116365402,0.686683249
