idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,eta,min_child_weight,subsample
,,,1.0,17.374797582626343,0.02400178909301758,176.57830570847315,31179.898046875,0.49452351744204287,0.01,2.0,0.4
,,,1.0,15.258396482467651,0.024998807907104494,171.03971464070852,29254.583984375,0.5256866265313371,0.02,2.0,0.4
,,,1.0,15.254187822341919,0.01840214729309082,167.86643918976182,28179.14140625,0.5430810457048721,0.1,2.0,0.4
,,,1.0,17.351794910430907,0.029203367233276368,176.8405344070612,31272.574609375,0.49302650355117433,0.01,2.0,0.6
,,,1.0,17.473996448516846,0.029602718353271485,171.23913400746045,29322.841015625,0.5245808544672856,0.02,2.0,0.6
,,,1.0,17.329197502136232,0.026801156997680663,167.80407683702146,28158.208203125,0.5434299103918179,0.1,2.0,0.6
,,,1.0,18.27539653778076,0.027203130722045898,177.03078607617942,31339.89921875,0.4919368465825742,0.01,2.0,0.8
,,,1.0,18.173794651031493,0.02660365104675293,171.34324445940376,29358.507421875,0.5240075977780332,0.02,2.0,0.8
,,,1.0,18.21259379386902,0.023600959777832033,168.04823177625227,28240.208203125,0.5421036720473953,0.1,2.0,0.8
,,,3.0,39.56239514350891,0.03760018348693848,163.22606902506413,26642.749609375,0.5680133996224311,0.01,2.0,0.4
,,,3.0,38.509996271133424,0.02920055389404297,161.4903646990278,26079.137890625,0.5771302754178274,0.02,2.0,0.4
,,,3.0,37.795595693588254,0.029601144790649413,160.60534412808312,25794.0765625,0.5817020401036334,0.1,2.0,0.4
,,,3.0,45.33579607009888,0.03699979782104492,163.4469010202549,26714.889453125,0.5668292000309945,0.01,2.0,0.6
,,,3.0,44.9013955116272,0.04820518493652344,161.68659040138425,26142.553515625,0.5761067695868913,0.02,2.0,0.6
,,,3.0,44.17839684486389,0.03140034675598145,160.2970509125168,25695.14453125,0.5832820379347777,0.1,2.0,0.6
,,,3.0,48.67319664955139,0.030602169036865235,163.60438301165712,26766.394140625,0.5660004531503767,0.01,2.0,0.8
,,,3.0,48.380193376541136,0.03260445594787598,161.78365183169777,26173.95,0.5756027913546718,0.02,2.0,0.8
,,,3.0,47.64679837226868,0.04080157279968262,160.21380368315647,25668.462890625,0.5838168184419222,0.1,2.0,0.8
,,,6.0,83.5613028049469,0.05400176048278808,159.07761961539404,25305.6890625,0.5896370482840333,0.01,2.0,0.4
,,,6.0,79.05486679077148,0.06340165138244629,158.6681604993579,25175.58515625,0.5917303027118903,0.02,2.0,0.4
,,,6.0,80.95885653495789,0.04500112533569336,165.04759611813498,27240.708984375,0.5582029592886718,0.1,2.0,0.4
,,,6.0,128.72393774986267,0.05099921226501465,159.3702805673787,25398.886328125,0.588109437609541,0.01,2.0,0.6
,,,6.0,97.76879858970642,0.048798561096191406,158.5054772811495,25123.986328125,0.5925352269538072,0.02,2.0,0.6
,,,6.0,128.15419673919678,0.05920090675354004,162.02398067107228,26251.7703125,0.5742262105360643,0.1,2.0,0.6
,,,6.0,120.87819323539733,0.06140069961547852,159.41376489343696,25412.7484375,0.5878556193580541,0.01,2.0,0.8
,,,6.0,124.12679605484009,0.05780496597290039,158.80061939032228,25217.63671875,0.591029039483514,0.02,2.0,0.8
,,,6.0,119.46499891281128,0.05860238075256348,161.24206618078918,25999.00390625,0.5782810623119776,0.1,2.0,0.8
,,,8.0,148.78479738235472,0.08360161781311035,158.96479685963493,25269.806640625,0.5902285328681145,0.01,2.0,0.4
,,,8.0,139.00953850746154,0.09560256004333496,158.85828123086628,25235.953515625,0.5907564327878362,0.02,2.0,0.4
,,,8.0,247.13638067245483,0.11210370063781738,166.18435146509734,27617.238671875,0.5520931828554418,0.1,2.0,0.4
,,,8.0,352.7474805355072,0.1580146312713623,158.91800534198447,25254.932421875,0.5904673569479547,0.01,2.0,0.6
,,,8.0,332.48240327835083,0.17579216957092286,158.83538304247577,25228.67890625,0.5908364713122544,0.02,2.0,0.6
,,,8.0,333.1182285308838,0.11480240821838379,163.8234031567987,26838.107421875,0.5647401302220775,0.1,2.0,0.6
,,,8.0,367.8694269180298,0.1294010639190674,159.33586651904523,25387.918359375,0.5882524601451335,0.01,2.0,0.8
,,,8.0,180.6991991519928,0.08419995307922364,159.17257119829094,25335.907421875,0.5890819817778619,0.02,2.0,0.8
,,,8.0,181.49599647521973,0.09500036239624024,162.94041999685038,26549.58046875,0.569477938226743,0.1,2.0,0.8
,,,10.0,196.3813950538635,0.14900102615356445,159.35348506739663,25393.533203125,0.5882145937255402,0.01,2.0,0.4
,,,10.0,185.31723470687865,0.11120119094848632,159.46288263260513,25428.4109375,0.5876047770355046,0.02,2.0,0.4
,,,10.0,187.67056183815004,0.12880210876464843,167.85944524921734,28176.793359375,0.5431741801400445,0.1,2.0,0.4
,,,10.0,218.63371076583863,0.11919803619384765,159.1449430256111,25327.112890625,0.5892764019217791,0.01,2.0,0.6
,,,10.0,209.05605359077452,0.12360167503356934,159.45190791426737,25424.9109375,0.5876852587132152,0.02,2.0,0.6
,,,10.0,202.709574842453,0.12139911651611328,165.2386768057043,27303.8203125,0.5572011235873775,0.1,2.0,0.6
,,,10.0,210.26119408607482,0.12500271797180176,160.08751146833723,25628.011328125,0.5843533696479716,0.01,2.0,0.8
,,,10.0,202.19040579795836,0.11900229454040527,160.2436889357893,25678.03984375,0.5835245928847279,0.02,2.0,0.8
